;0;1;2;3;4
34;0.520215395;0.374349573;0.439251006;0.553345244;0.300176507
35;0.644437933;0.476226411;0.35594941;0.355339211;0.323947863
36;0.600279887;0.387120092;0.217033;0.568893576;0.34504908
37;0.501018925;0.4949453;0.338190535;0.496933032;0.377748475
38;0.456385642;0.453311044;0.429386828;0.484873714;0.408345048
39;0.452014223;0.392768718;0.522614721;0.426691165;0.431537228
40;0.444031956;0.543300919;0.416234715;0.415559088;0.402143059
41;0.489096298;0.423324016;0.481952067;0.363278458;0.466189399
42;0.646967132;0.39522707;0.193890182;0.537541912;0.314140707
43;0.506651414;0.478434715;0.326108626;0.421854354;0.479683892
44;0.439522068;0.509113492;0.471784363;0.430836065;0.373394703
45;0.429179071;0.447482954;0.427925993;0.472410247;0.457462822
46;0.526155423;0.544877588;0.352136033;0.474199994;0.278214781
47;0.509291371;0.463906365;0.378454086;0.512871627;0.345178769
48;0.530169902;0.526812793;0.383977293;0.40000274;0.365988255
49;0.439827643;0.434603708;0.459428959;0.46229519;0.43918043
50;0.460893568;0.412831224;0.423677979;0.471880582;0.46365201
51;0.501897773;0.719184063;0.380111184;0.150520393;0.252451993
52;0.463156654;0.655993433;0.483866124;0.138901835;0.318964549
53;0.50133176;0.60737942;0.213805766;0.555381858;0.159983728
54;0.503877419;0.624445836;0.164750094;0.504049332;0.273800331
55;0.486179152;0.459102605;0.282047369;0.404808486;0.556267923
56;0.510374443;0.60845601;0.288990333;0.422941731;0.326961911
57;0.475607225;0.681511564;0.27745411;0.164100724;0.453243781
58;0.570015506;0.605571787;0.286494427;0.292503067;0.375137351
59;0.521234111;0.505250291;0.396710341;0.449855101;0.336583479
60;0.440311072;0.437344766;0.420010414;0.467795753;0.468630026
61;0.419806044;0.499968394;0.442663581;0.459036385;0.40881419
62;0.438423469;0.465632844;0.420886531;0.481271454;0.426852706
63;0.487318918;0.545843295;0.288168374;0.50743831;0.352194148
64;0.533918442;0.583585274;0.315465613;0.370702557;0.370702557
65;0.432591339;0.45292738;0.434393267;0.448079336;0.467171189
66;0.485920834;0.559958443;0.309244291;0.439157063;0.40228911
67;0.448042229;0.480397005;0.424748761;0.437749767;0.443216099
68;0.440779919;0.489007148;0.435646357;0.45613351;0.410779192
69;0.476087564;0.491202231;0.339370751;0.501816739;0.406286171
70;0.470479631;0.509844471;0.352440949;0.465286823;0.421901744
71;0.49786533;0.571132955;0.310205671;0.492370258;0.295433972
72;0.419542617;0.456922733;0.475076234;0.422270113;0.459560803
73;0.437205009;0.50342179;0.406594269;0.417339975;0.464679165
74;0.512219478;0.559867802;0.407014652;0.355636845;0.363374131
75;0.470542467;0.502263887;0.405598308;0.46458562;0.382061499
76;0.428265447;0.606315658;0.465221707;0.273256267;0.397328333
77;0.402722038;0.455925775;0.393598564;0.525244343;0.446256876
78;0.430506126;0.380727588;0.456351561;0.599892236;0.318721725
79;0.455431797;0.499463577;0.359741051;0.509523973;0.392542622
80;0.491564057;0.354496576;0.523482331;0.482113079;0.355288873
81;0.562876437;0.361512691;0.37905842;0.587664196;0.251881318
82;0.492166213;0.55675848;0.297325932;0.49233413;0.342047962
83;0.65251669;0.632243555;0.28157132;0.164106391;0.261298185
84;0.407702531;0.509587037;0.47295687;0.431556008;0.405180094
85;0.467491789;0.481144348;0.450317737;0.422362497;0.410822834
86;0.516082054;0.534809981;0.342529512;0.48277614;0.31183061
87;0.462002525;0.506669573;0.385674563;0.516875116;0.337542377
88;0.502401845;0.540442852;0.293124197;0.499900519;0.345964718
89;0.479857823;0.412998972;0.385894032;0.543755209;0.39317221
90;0.49235302;0.515192979;0.316440326;0.404199777;0.478176493
91;0.519124183;0.556583987;0.241503032;0.501896967;0.332415506
92;0.531010032;0.501143051;0.256669367;0.583028357;0.247149267
93;0.437581593;0.500002894;0.425710356;0.441473802;0.427072629
94;0.499663138;0.3979012;0.346262373;0.521667132;0.447188055
95;0.365389841;0.561167331;0.421408598;0.419449095;0.44503791
